Bands IC,Band Acc,Système,Poste,Mi-temps,Start Time,Durée (s),Start Vel (km/h),Acc Max (m/s²),Distance (m)
Band IC 3,Dec > 3m/s²,Syst 352,DC,MT1,14:33:14,"3,5","20,37","3,23","12,47"
Band IC 3,Acc > 3m/s²,Syst 352,DC,MT1,14:33:18,2,"6,59","3,13","9,74"
Band IC 3,Acc > 3m/s²,Syst 352,DC,MT1,14:40:54,"1,4","6,37","3,3","5,79"
Band IC 3,Dec > 3m/s²,Syst 352,DC,MT1,14:43:05,"3,1","17,7","3,18","11,99"
Band IC 3,Dec > 3m/s²,Syst 352,DC,MT1,14:43:25,"0,6","13,3","3,29","0,91"
Band IC 3,Dec > 3m/s²,Syst 352,DC,MT1,14:46:01,1,"15,11","3,17","2,11"
Band IC 3,Dec > 3m/s²,Syst 352,DC,MT1,14:51:07,"0,7","15,49","3,74","1,32"
Band IC 3,Dec > 3m/s²,Syst 352,DC,MT1,14:59:37,"2,9","22,5","3,83","13,19"
Band IC 3,Acc > 3m/s²,Syst 352,DC,MT1,15:01:58,"1,7","5,2","3,12","7,22"
Band IC 3,Dec > 4m/s²,Syst 352,DC,MT1,15:05:08,"1,8","23,29","4,33","4,79"
Band IC 3,Dec > 3m/s²,Syst 352,DC,MT1,15:06:46,"2,1","17,91","3,43","7,2"
Band IC 3,Dec > 3m/s²,Syst 352,DC,MT2,15:39:45,"2,4","17,34",3,"5,71"
Band IC 3,Dec > 3m/s²,Syst 352,DC,MT2,16:02:30,"1,2","16,72","3,29","2,96"
Band IC 3,Dec > 3m/s²,Syst 352,DC,MT2,16:03:32,"1,3","15,18","3,3","2,46"
Band IC 3,Dec > 3m/s²,Syst 352,DC,MT2,16:04:44,"2,5","23,92","3,3","9,48"
Band IC 3,Acc > 3m/s²,Syst 352,DC,MT2,16:13:06,"1,7","5,46","3,27","7,76"
Band IC 3,Dec > 3m/s²,Syst 352,DC,MT2,16:14:34,"1,6","20,95","3,15","4,72"
